brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
VINFAST,VF3,,2026,Coupe,Điện,Tự động,,4,,286650000,,Trong nước,,Tiền Giang,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-my-tho-tien-giang/132205080.htm
TOYOTA,RAIZE,,2025,SUV,Xăng,Tự động,,5,,510000000,6000,Nhập khẩu,,Đà Nẵng,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cam-le-da-nang/132897439.htm
MERCEDES BENZ,C CLASS,,2020,Sedan,Xăng,Tự động,,5,,769000000,28500,Trong nước,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132897437.htm
VINFAST,VF3,,2025,,Điện,Tự động,,4,,245000000,20000,Trong nước,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/132339923.htm
GAC,M8,GX Master,2024,,Xăng,Tự động,0.25,,FWD,1700000000,47000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132651693.htm
TOYOTA,FORTUNER,2.4G 4x2 AT,2018,SUV,Dầu,Tự động,,7,,689000000,138000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-11-tp-ho-chi-minh/132897400.htm
FORD,EVEREST,,2011,,Dầu,Tự động,,7,,250000000,240000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/132897387.htm
MERCEDES BENZ,GLC,200,2019,SUV,Xăng,Tự động,0.18,5,RWD,999000000,30000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132776403.htm
KIA,CARNIVAL,2.2D Signature,2021,MPV,Dầu,Tự động,,7,,923000000,100000,,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/132107121.htm
HÃNG KHÁC,DÒNG KHÁC,,2026,SUV,Xăng,Tự động,,5,,469100000,,Nhập khẩu,,Tây Ninh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-tay-ninh-tay-ninh/132897314.htm
FORD,ECOSPORT,Titanium 1.5L AT,2016,SUV,Xăng,Tự động,,5,,280000000,71000,Trong nước,,Tp Hồ Chí Minh,20-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-5-tp-ho-chi-minh/131053245.htm
MAZDA,CX 5,,2026,,Xăng,Tự động,,5,,699000000,,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/132897302.htm
