"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url","price_raw","price_scale","age","age_group","is_high_price","is_high_mileage"
"TOYOTA","CAMRY","E",2015,"Sedan","Xăng","Automatic","2","5","FWD - Dẫn động cầu trước",5.1e+08,123000,"Lắp ráp trong nước","Cát","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-camry-2.0e-2015-6821709",5.1e+08,"Original scale",11,"8-12 nam",FALSE,TRUE
"LEXUS","GX","460",2015,"SUV","Xăng","Automatic","4.6","7","AWD - 4 bánh toàn thời gian",2.239e+09,118000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-gx-460-2015-6683118",2.239e+09,"Original scale",11,"8-12 nam",TRUE,TRUE
"LEXUS","RX","350",2017,"SUV","Xăng","Automatic","3.5","5","AWD - 4 bánh toàn thời gian",2.25e+09,110000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-rx-350-2017-6345120",2.25e+09,"Original scale",9,"8-12 nam",TRUE,TRUE
"HYUNDAI","TUCSON","ATH",2016,"Crossover","Xăng","Automatic","2","5","FWD - Dẫn động cầu trước",5.29e+08,75000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2016-6746282",5.29e+08,"Original scale",10,"8-12 nam",FALSE,FALSE
"SUZUKI","CELERIO","BẢN THƯỜNG",2018,"Hatchback","Xăng","Automatic","1","5","FWD - Dẫn động cầu trước",2.25e+08,110000,"Nhập khẩu","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-suzuki-celerio-1.0-at-2018-6713835",2.25e+08,"Original scale",8,"8-12 nam",FALSE,TRUE
"LEXUS","RX","300",2020,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",2.39e+09,88000,"Nhập khẩu","Xanh","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-rx-300-2020-6664899",2.39e+09,"Original scale",6,"4-7 nam",TRUE,TRUE
"HYUNDAI","SANTAFE","4WD",2018,"SUV","Dầu","Automatic","2.2","7","4WD - Dẫn động 4 bánh",6.5e+08,120000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-santafe-2.2l-4wd-2018-6810478",6.5e+08,"Original scale",8,"8-12 nam",FALSE,TRUE
"HYUNDAI","SANTAFE","CAO CẤP HTRAC",2023,"SUV","Dầu","Automatic","2.2","7","AWD - 4 bánh toàn thời gian",1.099e+09,50000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2023-6716037",1.099e+09,"Original scale",3,"0-3 nam",FALSE,FALSE
"VINFAST","FADIL","TIÊU CHUẨN",2022,"Hatchback","Xăng","Automatic","1.4","5","FWD - Dẫn động cầu trước",2.99e+08,78000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6785494",2.99e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
"MITSUBISHI","TRITON","4X2 MIVEC",2022,"Bán tải / Pickup","Dầu","Automatic","2.4","5","RFD - Dẫn động cầu sau",4.79e+08,70000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mitsubishi-triton-4x2-at-mivec-2022-6810503",4.79e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
